Model Name,Model Coverage,Model Average Backbone Error,Model Twisted Peptide Count,Frac,Model cis/trans Flips,Frac,Model Average Sidechain Error,Template Name,Template Coverage,Template Average Backbone Error,Template Twisted Peptide Count,Frac,Template cis/trans Flips,Frac,Template Average Sidechain Error
T0958TS329_3-D1,1.000,20.451,0,0.000,0,0.000,31.515,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0958TS498_1-D1,1.000,16.546,0,0.000,0,0.000,39.487,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0958TS124_1-D1,1.000,17.553,0,0.000,0,0.000,40.729,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0958TS358_1-D1,1.000,31.991,18,0.234,0,0.000,37.994,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0958TS196_3-D1,1.000,16.129,1,0.013,0,0.000,30.606,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0958TS460_1-D1,1.000,15.009,0,0.000,0,0.000,29.260,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0958TS192_4-D1,1.000,18.160,0,0.000,0,0.000,46.421,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0958TS152_4-D1,1.000,27.525,0,0.000,1,0.013,45.290,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0958TS043_4-D1,1.000,14.407,0,0.000,0,0.000,32.953,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0958TS044_2-D1,1.000,16.129,1,0.013,0,0.000,30.606,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0958TS351_3-D1,1.000,23.677,0,0.000,0,0.000,46.774,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0958TS224_2-D1,1.000,26.164,5,0.065,0,0.000,46.505,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0958TS312_5-D1,1.000,41.094,5,0.065,1,0.013,33.826,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
